Nombre,Unidades,Precios,Fecha
AGUACATE HASS,KG,2000,07-01-17
APIO VERDE,MT,1150,07-01-17
AYOTE SAZÓN,KG,400,07-01-17
AYOTE TIERNO,UND,450,07-01-17
BANANO,UND,40,07-01-17
BRÓCOLI,KG,2200,07-01-17
CAMOTE,KG,1300,07-01-17
CEBOLLA SECA,KG,1000,07-01-17
CEBOLLA TRENZA,KG,1000,07-01-17
COLIFLOR,UND,1100,07-01-17
COCO,UND,450,07-01-17
CULANTRO CASTILLA,ROLLO,100,07-01-17
CHAYOTE SAZÓN BLANCO,UND,225,07-01-17
CHAYOTE TIERNO CRIOLLO,UND,225,07-01-17
CHAYOTE TIERNO QUELITE,UND,75,07-01-17
CHILE DULCE,UND,350,07-01-17
ELOTE,UND,165,07-01-17
FRESA,CANAST,---,07-01-17
FRIJOL NEGRO,KG,1000,07-01-17
FRIJOL ROJO,KG,1200,07-01-17
FRIJOL TIERNO,KG,1600,07-01-17
HUEVOS,KG,1600,07-01-17
LECHUGA AMERICANA,UND,250,07-01-17
LIMÓN MANDARINO,UND,40,07-01-17
LIMÓN MESINO,UND,125,07-01-17
MANGA,KG,975,07-01-17
MARACUYÁ,KG,1000,07-01-17
MORA,KG,1600,07-01-17
NARANJA,UND,78,07-01-17
ÑAMPI,KG,800,07-01-17
PAPA,KG,775,07-01-17
PAPAYA,KG,750,07-01-17
PEPINO,KG,500,07-01-17
PIÑA,UND,950,07-01-17
PLATANO,UND,150,07-01-17
REMOLACHA,UND,275,07-01-17
REPOLLO VERDE,KG,425,07-01-17
SANDÍA,KG,875,07-01-17
TIQUISQUE,KG,875,07-01-17
TOMATE,KG,1725,07-01-17
VAINICA,KG,1150,07-01-17
YUCA CORRIENTE,KG,375,07-01-17
YUCA PARAFINADA,KG,400,07-01-17
ZANAHORIA,KG,360,07-01-17
ZAPALLO,UND,425,07-01-17
APIO VERDE,MT,1400,08-01-16
AYOTE SAZÓN,KG,350,08-01-16
AYOTE TIERNO,UND,450,08-01-16
BANANO,UND,32,08-01-16
BRÓCOLI,KG,700,08-01-16
CAMOTE,KG,675,08-01-16
CEBOLLA SECA,KG,1350,08-01-16
CEBOLLA TRENZA,KG,1350,08-01-16
COLIFLOR,UND,600,08-01-16
COCO,UND,375,08-01-16
CULANTRO CASTILLA,ROLLO,100,08-01-16
CHAYOTE SAZÓN BLANCO,UND,160,08-01-16
CHAYOTE TIERNO CRIOLLO,UND,160,08-01-16
CHAYOTE TIERNO QUELITE,UND,55,08-01-16
CHILE DULCE,UND,180,08-01-16
ELOTE,UND,125,08-01-16
FRESA,CANAST,450,08-01-16
FRIJOL NEGRO,KG,1000,08-01-16
FRIJOL ROJO,KG,1200,08-01-16
FRIJOL TIERNO,KG,1600,08-01-16
HUEVOS,KG,1900,08-01-16
LECHUGA AMERICANA,UND,250,08-01-16
LIMÓN MESINO,UND,‐‐‐,08-01-16
MANGA,KG,800,08-01-16
MARACUYÁ,KG,900,08-01-16
MORA,KG,1700,08-01-16
NARANJA,UND,65,08-01-16
